material_id,name,k,cp,diffusivity,sigma_y,sigma_uts,E
alsi10mg-am,AlSi10Mg (AM),yes,yes,yes,yes,yes,yes
cucrzr-am,CuCrZr (AM),yes,yes,yes,,,
grcop-84-am,GRCop-84 (AM),yes,,,yes,yes,
grcop-42-am,GRCop-42 (AM),yes,,,yes,yes,
in718-am,IN718 (AM),yes,,,yes,yes,
ss316-am,Stainless Steel 316 (AM),yes,yes,yes,yes,yes,yes
al-6061-am,Aluminum 6061 (AM),yes,yes,yes,yes,yes,yes
c110,Copper C110,yes,yes,yes,yes,yes,yes
c101,Copper C101,yes,yes,yes,yes,yes,yes
al-6061-t6,Aluminum 6061-T6,yes,yes,yes,yes,yes,yes
ss316,Stainless Steel 316,yes,yes,yes,yes,yes,yes
ss304,Stainless Steel 304,yes,yes,yes,yes,yes,yes
